Color! java.awt.Color[r=31,g=38,b=48]
Color! java.awt.Color[r=39,g=46,b=56]
Color! java.awt.Color[r=49,g=52,b=67]
Color! java.awt.Color[r=39,g=42,b=57]
Color! java.awt.Color[r=42,g=45,b=60]
Color! java.awt.Color[r=66,g=69,b=84]
Color! java.awt.Color[r=56,g=59,b=74]
Color! java.awt.Color[r=30,g=36,b=50]
Color! java.awt.Color[r=33,g=39,b=53]
Color! java.awt.Color[r=45,g=46,b=64]
Color! java.awt.Color[r=38,g=39,b=57]
Color! java.awt.Color[r=31,g=32,b=50]
Color! java.awt.Color[r=30,g=31,b=49]
Color! java.awt.Color[r=26,g=29,b=46]
Color! java.awt.Color[r=39,g=42,b=59]
Color! java.awt.Color[r=33,g=34,b=52]
Color! java.awt.Color[r=35,g=38,b=55]
Color! java.awt.Color[r=31,g=34,b=51]
Color! java.awt.Color[r=38,g=41,b=58]
Color! java.awt.Color[r=48,g=51,b=68]
Color! java.awt.Color[r=46,g=49,b=64]
Color! java.awt.Color[r=48,g=51,b=66]
Color! java.awt.Color[r=59,g=61,b=76]
Color! java.awt.Color[r=62,g=64,b=79]
Color! java.awt.Color[r=58,g=61,b=76]
Color! java.awt.Color[r=55,g=58,b=73]
Color! java.awt.Color[r=61,g=64,b=79]
Color! java.awt.Color[r=60,g=64,b=76]
Color! java.awt.Color[r=62,g=66,b=78]
Color! java.awt.Color[r=46,g=48,b=60]
Color! java.awt.Color[r=45,g=47,b=59]
Color! java.awt.Color[r=44,g=46,b=58]
Color! java.awt.Color[r=60,g=62,b=74]
Color! java.awt.Color[r=61,g=63,b=75]
Color! java.awt.Color[r=64,g=68,b=79]
Color! java.awt.Color[r=59,g=63,b=74]
Color! java.awt.Color[r=56,g=60,b=71]
Color! java.awt.Color[r=67,g=71,b=82]
Color! java.awt.Color[r=61,g=68,b=78]
Color! java.awt.Color[r=62,g=69,b=79]
Color! java.awt.Color[r=68,g=76,b=89]
Color! java.awt.Color[r=62,g=70,b=83]
Color! java.awt.Color[r=72,g=80,b=93]
Color! java.awt.Color[r=74,g=82,b=95]
Color! java.awt.Color[r=78,g=86,b=99]
Color! java.awt.Color[r=58,g=65,b=81]
Color! java.awt.Color[r=71,g=78,b=96]
Color! java.awt.Color[r=64,g=71,b=89]
Color! java.awt.Color[r=90,g=97,b=115]
Color! java.awt.Color[r=136,g=143,b=159]
Color! java.awt.Color[r=189,g=197,b=210]
Color! java.awt.Color[r=224,g=230,b=244]
Color! java.awt.Color[r=239,g=245,b=255]
Color! java.awt.Color[r=242,g=251,b=255]
Color! java.awt.Color[r=245,g=254,b=255]
Color! java.awt.Color[r=244,g=251,b=255]
Color! java.awt.Color[r=245,g=252,b=255]
Color! java.awt.Color[r=234,g=241,b=249]
Color! java.awt.Color[r=209,g=216,b=224]
Color! java.awt.Color[r=186,g=192,b=204]
Color! java.awt.Color[r=162,g=170,b=181]
Color! java.awt.Color[r=149,g=156,b=172]
Color! java.awt.Color[r=127,g=136,b=153]
Color! java.awt.Color[r=128,g=136,b=155]
Color! java.awt.Color[r=124,g=132,b=151]
Color! java.awt.Color[r=110,g=119,b=136]
Color! java.awt.Color[r=112,g=118,b=134]
Color! java.awt.Color[r=110,g=116,b=132]
Color! java.awt.Color[r=105,g=112,b=130]
Color! java.awt.Color[r=92,g=99,b=117]
Color! java.awt.Color[r=88,g=94,b=110]
Color! java.awt.Color[r=90,g=96,b=112]
Color! java.awt.Color[r=87,g=93,b=107]
Color! java.awt.Color[r=83,g=89,b=101]
Color! java.awt.Color[r=85,g=89,b=101]
Color! java.awt.Color[r=87,g=91,b=100]
Color! java.awt.Color[r=92,g=92,b=102]
Color! java.awt.Color[r=94,g=94,b=102]
Color! java.awt.Color[r=98,g=97,b=103]
Color! java.awt.Color[r=93,g=94,b=99]
Color! java.awt.Color[r=85,g=86,b=91]
Color! java.awt.Color[r=98,g=101,b=106]
Color! java.awt.Color[r=105,g=108,b=113]
Color! java.awt.Color[r=108,g=112,b=115]
Color! java.awt.Color[r=115,g=116,b=120]
Color! java.awt.Color[r=125,g=126,b=128]
Color! java.awt.Color[r=124,g=127,b=132]
Color! java.awt.Color[r=123,g=126,b=131]
Color! java.awt.Color[r=122,g=125,b=132]
Color! java.awt.Color[r=120,g=123,b=130]
Color! java.awt.Color[r=106,g=109,b=116]
Color! java.awt.Color[r=118,g=121,b=128]
Color! java.awt.Color[r=105,g=110,b=116]
Color! java.awt.Color[r=97,g=102,b=108]
Color! java.awt.Color[r=92,g=97,b=103]
Color! java.awt.Color[r=97,g=104,b=110]
Color! java.awt.Color[r=101,g=108,b=114]
Color! java.awt.Color[r=116,g=123,b=129]
Color! java.awt.Color[r=117,g=124,b=130]
Color! java.awt.Color[r=110,g=117,b=123]
Color! java.awt.Color[r=104,g=111,b=117]
Color! java.awt.Color[r=99,g=106,b=112]
Color! java.awt.Color[r=106,g=113,b=119]
Color! java.awt.Color[r=109,g=116,b=122]
Color! java.awt.Color[r=100,g=107,b=113]
Color! java.awt.Color[r=89,g=96,b=104]
Color! java.awt.Color[r=92,g=99,b=107]
Color! java.awt.Color[r=74,g=81,b=87]
Color! java.awt.Color[r=72,g=79,b=85]
Color! java.awt.Color[r=99,g=106,b=114]
Color! java.awt.Color[r=113,g=120,b=128]
Color! java.awt.Color[r=105,g=112,b=120]
Color! java.awt.Color[r=101,g=108,b=116]
Color! java.awt.Color[r=114,g=123,b=128]
Color! java.awt.Color[r=118,g=127,b=132]
Color! java.awt.Color[r=120,g=129,b=134]
Color! java.awt.Color[r=115,g=124,b=129]
Color! java.awt.Color[r=123,g=132,b=137]
Color! java.awt.Color[r=131,g=140,b=145]
Color! java.awt.Color[r=135,g=144,b=149]
Color! java.awt.Color[r=134,g=143,b=148]
Color! java.awt.Color[r=132,g=143,b=145]
Color! java.awt.Color[r=138,g=149,b=151]
Color! java.awt.Color[r=139,g=151,b=151]
Color! java.awt.Color[r=141,g=153,b=151]
Color! java.awt.Color[r=139,g=151,b=149]
Color! java.awt.Color[r=140,g=152,b=148]
Color! java.awt.Color[r=139,g=154,b=151]
Color! java.awt.Color[r=136,g=151,b=148]
Color! java.awt.Color[r=137,g=152,b=149]
Color! java.awt.Color[r=143,g=158,b=155]
Color! java.awt.Color[r=138,g=153,b=150]
Color! java.awt.Color[r=137,g=149,b=147]
Color! java.awt.Color[r=140,g=152,b=150]
Color! java.awt.Color[r=132,g=147,b=144]
Color! java.awt.Color[r=137,g=153,b=150]
Color! java.awt.Color[r=133,g=149,b=146]
Color! java.awt.Color[r=134,g=153,b=147]
Color! java.awt.Color[r=137,g=156,b=150]
Color! java.awt.Color[r=135,g=154,b=148]
Color! java.awt.Color[r=140,g=159,b=153]
Color! java.awt.Color[r=138,g=157,b=151]
Color! java.awt.Color[r=141,g=160,b=154]
Color! java.awt.Color[r=132,g=151,b=145]
Color! java.awt.Color[r=133,g=152,b=146]
Color! java.awt.Color[r=136,g=155,b=151]
Color! java.awt.Color[r=132,g=151,b=147]
Color! java.awt.Color[r=134,g=153,b=149]
Color! java.awt.Color[r=138,g=157,b=153]
Color! java.awt.Color[r=139,g=158,b=154]
Color! java.awt.Color[r=135,g=154,b=150]
Color! java.awt.Color[r=137,g=156,b=152]
Color! java.awt.Color[r=140,g=159,b=155]
Color! java.awt.Color[r=141,g=160,b=156]
Color! java.awt.Color[r=143,g=162,b=158]
Color! java.awt.Color[r=145,g=164,b=160]
Color! java.awt.Color[r=148,g=167,b=161]
Color! java.awt.Color[r=152,g=171,b=165]
Color! java.awt.Color[r=144,g=163,b=159]
Color! java.awt.Color[r=149,g=168,b=164]
Color! java.awt.Color[r=146,g=165,b=161]
Color! java.awt.Color[r=150,g=169,b=165]
Color! java.awt.Color[r=141,g=162,b=157]
Color! java.awt.Color[r=139,g=160,b=155]
Color! java.awt.Color[r=144,g=165,b=160]
Color! java.awt.Color[r=142,g=163,b=158]
Color! java.awt.Color[r=145,g=166,b=161]
Color! java.awt.Color[r=148,g=169,b=164]
Color! java.awt.Color[r=139,g=162,b=156]
Color! java.awt.Color[r=137,g=160,b=154]
Color! java.awt.Color[r=146,g=167,b=162]
Color! java.awt.Color[r=145,g=166,b=159]
Color! java.awt.Color[r=146,g=167,b=160]
Color! java.awt.Color[r=147,g=168,b=161]
Color! java.awt.Color[r=149,g=170,b=163]
Color! java.awt.Color[r=143,g=164,b=157]
Color! java.awt.Color[r=141,g=162,b=155]
Color! java.awt.Color[r=140,g=161,b=156]
Color! java.awt.Color[r=151,g=172,b=167]
Color! java.awt.Color[r=146,g=166,b=164]
Color! java.awt.Color[r=143,g=163,b=161]
Color! java.awt.Color[r=143,g=163,b=162]
Color! java.awt.Color[r=149,g=169,b=168]
Color! java.awt.Color[r=145,g=165,b=164]
Color! java.awt.Color[r=146,g=166,b=165]
Color! java.awt.Color[r=139,g=159,b=158]
Color! java.awt.Color[r=142,g=162,b=163]
Color! java.awt.Color[r=143,g=163,b=164]
Color! java.awt.Color[r=147,g=167,b=166]
Color! java.awt.Color[r=140,g=160,b=159]
Color! java.awt.Color[r=141,g=161,b=160]
Color! java.awt.Color[r=151,g=182,b=164]
Color! java.awt.Color[r=159,g=190,b=172]
Color! java.awt.Color[r=163,g=195,b=174]
Color! java.awt.Color[r=163,g=194,b=179]
Color! java.awt.Color[r=165,g=196,b=181]
Color! java.awt.Color[r=159,g=190,b=175]
Color! java.awt.Color[r=164,g=196,b=181]
Color! java.awt.Color[r=167,g=199,b=184]
Color! java.awt.Color[r=166,g=198,b=183]
Color! java.awt.Color[r=162,g=196,b=180]
Color! java.awt.Color[r=165,g=199,b=183]
Color! java.awt.Color[r=169,g=200,b=182]
Color! java.awt.Color[r=171,g=202,b=184]
Color! java.awt.Color[r=170,g=201,b=183]
Color! java.awt.Color[r=163,g=190,b=173]
Color! java.awt.Color[r=166,g=193,b=176]
Color! java.awt.Color[r=176,g=203,b=186]
Color! java.awt.Color[r=179,g=206,b=189]
Color! java.awt.Color[r=145,g=170,b=151]
Color! java.awt.Color[r=117,g=140,b=122]
Color! java.awt.Color[r=126,g=147,b=130]
Color! java.awt.Color[r=124,g=147,b=129]
Color! java.awt.Color[r=119,g=142,b=124]
Color! java.awt.Color[r=118,g=141,b=123]
Color! java.awt.Color[r=116,g=140,b=124]
Color! java.awt.Color[r=118,g=142,b=126]
Color! java.awt.Color[r=122,g=146,b=130]
Color! java.awt.Color[r=130,g=154,b=138]
Color! java.awt.Color[r=138,g=162,b=146]
Color! java.awt.Color[r=147,g=171,b=155]
Color! java.awt.Color[r=159,g=183,b=167]
Color! java.awt.Color[r=166,g=190,b=174]
Color! java.awt.Color[r=169,g=192,b=174]
Color! java.awt.Color[r=154,g=177,b=159]
Color! java.awt.Color[r=129,g=152,b=134]
Color! java.awt.Color[r=114,g=137,b=117]
Color! java.awt.Color[r=108,g=131,b=111]
Color! java.awt.Color[r=104,g=125,b=106]
Color! java.awt.Color[r=111,g=128,b=110]
Color! java.awt.Color[r=114,g=131,b=113]
Color! java.awt.Color[r=110,g=129,b=110]
Color! java.awt.Color[r=111,g=130,b=111]
Color! java.awt.Color[r=115,g=133,b=117]
Color! java.awt.Color[r=110,g=131,b=114]
Color! java.awt.Color[r=102,g=123,b=108]
Color! java.awt.Color[r=99,g=122,b=106]
Color! java.awt.Color[r=104,g=128,b=115]
Color! java.awt.Color[r=110,g=134,b=121]
Color! java.awt.Color[r=98,g=124,b=111]
Color! java.awt.Color[r=97,g=123,b=112]
Color! java.awt.Color[r=103,g=129,b=118]
Color! java.awt.Color[r=98,g=124,b=113]
Color! java.awt.Color[r=96,g=119,b=113]
Color! java.awt.Color[r=107,g=130,b=124]
